ID,event.title,Volumes,vol.ID (from Volumes),event.type,event.month,event.date,event.year,event.location,event.address,event.city,event.state,event.country,source.publication,notes
1,Self Defense for Women Protest,Babe1.1,Babe1.1,Protest Report,01,07,1970,Harmon Gym,NA,Berkeley,CA,USA,NA,Protest of women being barred from enrolling in self-defense karate class at UC Berkely
2,San Francisco Chronicle Protest,Babe1.10,Babe1.10,Protest Report,07,07,1970,San Francisco Chronicle,5th and Mission,San Francisco,CA,USA,NA,protest of chauvinism/discrimination in the paper
3,KIMN Bridal Fair Protest,Babe1.10,Babe1.10,Protest Report,NA,NA,NA,KIMN Bridal Fair,NA,Denver,CO,USA,NA,first action of Denver Women's Liberation in Colorado Springs - disguised as customers and handed out birth control information/leaflets
4,Joan Bird Protest,Babe1.10,Babe1.10,Protest Report,07,07,1970,Women's House of Detention,NA,New York City,NY,USA,LNS,"Protest of the incarceration of Joan Bird
"
5,OWL Meetings,Babe1.10,Babe1.10,Event Advertisement,NA,NA,NA,NA,NA,Milwaukee,WI,USA,OWL Newsletter,call for women to come to the monthly meeting of the OWL - umbrella group of a coalition of all existing groups
6,Wichita Women's Liberation Update,Babe1.10,Babe1.10,Event Advertisement,NA,NA,NA,Wichita State University,NA,Wichita,KS,USA,NA,"exclusion of men to avoid harassment - sympathetic spouses and interested ""liberals"" allowed one meeting per month"
7,National Convention of the NAACP,Babe1.10,Babe1.10,Advocacy,06,28,1970,NA,NA,Cincinnati,OH,USA,NA,"passed number of resolutions which reaffirm its support of equal rights for women - internal affairs of NAACP, civil rights for women, and programs for working women"
8,Breakaway Gatherings,Babe1.10,Babe1.10,Event Advertisement,07,31,1970,NA,1785 Sutter,San Francisco,CA,USA,NA,"gatherings for reading, music, song, dance, movies, photography"
9,Women: Breaking the Shackles,Babe1.2,Babe1.2,Event Advertisement,01,30,1970,"Boalt Hall, Earl Warren Legal Auditorium",NA,Berkeley,CA,USA,NA,conference and workshops launching a campaign to build solidarity amongst all women and to generate concrete action with labor groups
10,The Young Girl: Early Socialization Forum,Babe1.2,Babe1.2,Event Advertisement,01,29,1970,UC Berkeley Campus,100 Lewis,Berkeley,CA,USA,NA,
11,The Single Woman: The Pressure Mounts,Babe1.2,Babe1.2,Event Advertisement,02,05,1970,UC Berkeley Campus,4 Le Conte,Berkeley,CA,USA,NA,
12,The Married Woman: A Dream Come True?,Babe1.2,Babe1.2,Event Advertisement,02,12,1970,UC Berkeley Campus,2 Le Conte,Berkeley,CA,USA,NA,
13,The Working Woman: Economic Exploitation,Babe1.2,Babe1.2,Event Advertisement,02,19,1970,UC Berkeley Campus,100 Lewis,Berkeley,CA,USA,NA,
14,Alternatives: Building a Better World,Babe1.2,Babe1.2,Event Advertisement,02,26,1970,UC Berkeley Campus,NA,NA,NA,USA,NA,
15,Liberation Women's Union Conference,Babe1.2,Babe1.2,Event Advertisement,02,07,1970,NA,NA,San Francisco,CA,USA,NA,"Bay Area wide workshops organizing women in high schools, junior colleges, and universities"
16,International Women's Day Activities,Babe1.3,Babe1.3,Event Advertisement,03,07,1970,Glide Church,3300 Ellis Street,San Francisco,CA,USA,NA,"Workshops, Open House, celebration of women's arts and photography"
17,All-women's collective of underground papers,Babe1.3,Babe1.3,Call to Organize,01,24,1970,NA,NA,Berkeley,CA,USA,NA,"RAT yielded to all-woman's collective - joined with WITCH, Redstockings, Gay Liberation, LNS, and Weatherman"
18,Women's Liberation Conference,Babe1.4,Babe1.4,Event Advertisement,03,21,1970,NA,NA,San Francisco,CA,USA,NA,various organizations present position papers and discuss active projects
19,Testimony at Abortion Hearing,Babe1.4,Babe1.4,Protest Report,02,28,1970,NA,NA,NA,MI,USA,NA,W.L. Coalition members attended an abortion hearing sponsored by Senator Beebe of Michigan to counteract anti-repeal forces
20,M.O.R.A.L. Conference,Babe1.4,Babe1.4,Protest Report,03,07,1970,Wayne State,NA,Detroit,MI,USA,NA,"Conference held to discuss medical, psychological, and legal aspects of abortion as well as its relationship to poverty and religion"
20,,,,,,,,,,,,,,
21,D.C. Women's Liberation on the Pill,Babe1.4,Babe1.4,Protest Report,03,07,1970,NA,NA,NA,D.C.,USA,NA,DC Women's Liberation held hearings on the Pill after distributing questionnaires prior to
22,Support for Dr. McCaskill,Babe1.4,Babe1.4,Call to Organize,NA,NA,NA,NA,NA,Atlanta,GA,USA,NA,"Call for support for a Black doctor indicted on four counts of illegal abortion and his community that has lost access to free medical care in his absence
- joined by D.C. W.L."
23,WBCN Protest,Babe1.4,Babe1.4,Protest Report,02,13,1970,WBCN radio station,NA,Boston,MA,USA,NA,"protest the male chauvinism of the radio station - demanding an our of prime listening time on International Women's Day for special programming

"
24,Welfare Protest March,Babe1.4,Babe1.4,Protest Report,01,26,1970,NA,NA,Milwaukee,WI,USA,LNS,Welfare mothers marched through downtown Milwaukee and two department stores to protest the county supervisors decision to not give them emergency clothing and money
25,Yale Alumni Day Protest,Babe1.4,Babe1.4,Protest Report,02,21,1970,Yale University,NA,New Haven,CT,USA,NA,Women students stormed the alumni day luncheon to protest the status of women at Yale
26,Freuhauf Trailer Co Strike,Babe1.5,Babe1.5,Protest Report,11,19,1970,Freuhauf Trailer Co.,NA,Detroit,MI,USA,NA,"Nearly 300 office workers on strike - mostly women - met with police squads escorting scabs - demanding increase in pay, benefits, maternity leave, and health insurance"
27,Demonstration at Mississippi Valley State College,Babe1.5,Babe1.5,Protest Report,02,10,1970,Mississippi Valley State College,NA,Itta Bena,MS,USA,LNS,Black student demonstrators arrested after going on strike to enforce a list of depends - including extension of visiting and curfew hours for young women and abolition of rules regulating dress
28,NOW Table at the Activities Fair,Babe1.5,Babe1.5,Event Advertisement,04,10,1970,Lower Sproul Plaza,NA,Berkeley,CA,USA,NA,NOW table at UC Berkeley Activities Fair
29,Radio Free Boston,Babe1.5,Babe1.5,Protest Report,03,08,1970,WBCN radio station,NA,Boston,MA,USA,NA,Bread and Roses made use of the office to play a tape discussing cuts from rock songs that denigrate women as well as a live discussion - produced by successful protest
30,Congress to Unite Women's Northeast Regional Conference,Babe1.6,Babe1.6,Event Advertisement,05,01,1970,Intermediate School 70,333 West 17th St,New York City,NY,USA,LNS,"second conference - coalition of women's liberation groups - ""Program for Action"" focused on childcare and education, feminine image in the media, and women and law, and reproduction"
31,International Conference on Cooperative Childcare,Babe1.6,Babe1.6,Event Advertisement,05,16,1970,NA,NA,Bloomington,IN,USA,NA,"Conference held by group of Bloomington people from W.L., the New University Conference, and two cooperative childcare centers in Bloomington begun by women in W.L."
32,Women's Liberation Conference,Babe1.6,Babe1.6,Event Advertisement,05,02,1970,Women's Place,2626 Foothill Ln.,Santa Barbara,CA,USA,NA,"State-wide conference to discuss child care, women's curriculum at the University, guerrilla theater, and organizing in general"
33,Women's Rights Educational Meeting,Babe1.6,Babe1.6,Event Advertisement,05,09,1970,"Fellowship Hall, Glide Church",330 Ellis St,San Francisco,CA,USA,NA,Educational meeting covering women's rights in employment - as well as a panel discussion on the ERA
35,May Day Womens Party,Babe1.6,Babe1.6,Event Advertisement,05,01,1970,Sherwood Forest,corner of Bancroft and Dana,NA,NA,USA,NA,Planning meeting for a new women's center
36,Protest of Rape Trial,Babe2.1,Babe2.1,Call to Organize,04,05,1971,"Judge Arata's Courtroom, City Hall",NA,NA,NA,USA,NA,protest of courtroom treatment of rape - putting women on trial rather than the rapist - calling for women to gather on the date a woman's rape case resumes trial proceedings
