vol.ID,publication,vol,no,issue.mo,issue.day,issue.year,vol.title,file.pdf,Events,event.type (from Events),Resources,type.resource (from Resources)
Babe1.1,It Ain't Me Babe,1,1,1,15,1970,Berkeley Women's Liberation,01151970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/6RcjJ-xuO4lsI_zux2IYyQ/OCLypnGMwaHq6ryzyoT0yoPSimdGovU956CPDLsipQoVP4Rw3JTtpOIgZAR_x5-klIrkqNMU_luh3Myudym_xBEtlMkZL5VKPSC5luI2mnoClIvxmja3emC6Jk9xij0I19i7uzxNh2SFQuuJ98dDmluN1OplKsKN0gOsuz2yCiY/8jUyHArIvnh-cD245iVvMf82N8fa3reb-exgA8q028s),"1,206","Protest Report,Event Advertisement","1,2,3,155,156","Reproductive Healthcare,Reproductive Healthcare,Reproductive Healthcare,Listing,Listing"
Babe1.2,It Ain't Me Babe,1,2,1,29,1970,Berkeley Women's Liberation,1291970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/7f9-JDsoyx6NkcWNfXda8w/ukkZ4VZIlpzUNhexcDwHHZeRHre58FQ1lcu8PVg4vmAppFedTb-qeQBEPWVAvW06fEGJcbUvDxSx7xznLnNcwHeEqP0lBjnhUK-VVzrcSkT1cIZxv2s0ZeT0Gz3inlivr0rJEYHlEeQUggHZpPzPN6MnnRkTrAXbgx1rQJLPNWY/MXx3Mijr-sFbwQO4bZkdl181S50Ikk8fEeLm3Y7cWV4),"9,10,11,12,13,14,15,207,208,209,210","Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Oppression Report,Advocacy,Protest Report,Oppression Report,Event Advertisement",157,"Listing,Organization"
Babe1.3,It Ain't Me Babe,1,3,2,1,1970,Women's Liberation,02011970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/QqI6Hcv6-F55cJQdHreryw/dyFes96ZliS3qGj5YtG4NzpPJ2dAjOvtjhMfYSfK4w8jSbk4CaPd1m82jGqTxedk76pjGNyYQevIsICyDcDDIacp2UHPfLli25FY7C-PN7V6anGTjtHMtUTVNurgQ9DEKu3LPsBEycaNBs0zRWynUXLzlW1KTpCLjPJwFHAS9qE/C0A6Be0JOjuxIyFRB3iyifxzn9b4wg4a6snlOfmPi44),"16,17,211,212,213,214","Event Advertisement,Call to Organize,Advocacy,Oppression Report,Protest Report,Protest Report,Protest Report","158,159,160,161,162,163,164,165,166,167,168,169,170,172,173,174,175,176,177,178,179","Courses,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Listing,Reproductive Healthcare,Listing,Listing,Bookstore,Bookstore,Bookstore,Listing,Listing,Bookstore"
Babe1.4,It Ain't Me Babe,1,4,3,15,1970,Women's Liberation,03051970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/SDBD6ILjn_JQFM-6MFwc1g/x54sMkffipVrPy0vETjssQ8oRAdjY-y8q830frouEfeJPJCGA5cFVr2NnT1YPj9F6cc00ktBh0kMe10PiS1QgN_YFn03YeCr8hJfwtMHMUqyIfAvuIBa3NSrUnynre48_hZlSJwyJxDtnSmS2_1s4aFQZXu-SZDlyKOlnQrmcUU/LrDGEsqO620u9Pst2JzCL9fEvXZuNdxIvRQRCbNGL8Q),"18,19,20,21,22,23,24,25,215,216,217,218","Event Advertisement,Protest Report,Protest Report,Protest Report,Call to Organize,Protest Report,Protest Report,Protest Report,Meeting Report,Call to Organize,Protest Report,Advocacy,Protest Report,Oppression Report,Oppression Report","7,8,9,179,180,181,182","Organization,Organization,Bookstore,Listing,Listing,Organization,Listing"
Babe1.5,It Ain't Me Babe,1,5,4,7,1970,Women's Liberation,04071970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/fm4CPSxp53wnKkYEk4Xe3A/amjnvPDe06-TclCYeAZq-zbZzg1fj0aqE5onIucCEN7yWvORjUbL5K1N7vnz5gZWKZHhGArx6Vn5j9JjvPlZtlEebXicGmSr7S37-sVf_KEuWl_LL_7cIUx9aHiwdXEpT3CWMLiH_2SMrl_-Kx5_UkPJiDzfOeFEzBaqOjiiEaM/dQMO2QhtEl45CiLH7ZVi-O_zdbcoQgObzDzaqP95L-o),"26,27,28,29,219,220,221","Protest Report,Protest Report,Event Advertisement,Protest Report,Protest Report,Oppression Report,Protest Report","10,183","Organization,Courses"
Babe1.6,It Ain't Me Babe,1,6,4,28,1970,Women's Liberation:Special Media Issue,04281970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/Aw2vEVohRYpcjJBf95tkog/YtyvlH-LM4tV40FejtfqhamkpyN4CKiU0uSmndNg23l-DHoaBpvr_6jeXv8kAEhwC9zgiIBLD2qMKvdrQmcuoOLjzZexB5HzBN0QQn10engbd9OxfJ4aJs53S3LKVJCk9aWQkULzWraW_fcVchYEjIXBoQSZE0eyC2j98lswNuU/IjnY_ceF_aRQNLfA2qPDq2MFlxNJs-J1RaZtWGkbczo),"30,31,32,33,35,222,223,224,225,226,227,228,229,230,231,232,233","Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Protest Report,Meeting Report,Protest Report,Oppression Report,Protest Report,Protest Report,Call to Organize,Protest Report,Protest Report,Advocacy,Advocacy,Event Advertisement,Protest Report","11,12,13,14,184,185,186,187,188","Childcare,Courses,Reproductive Healthcare,Listing,Reproductive Healthcare,Listing,Reproductive Healthcare,Listing,Listing,Bookstore,Organization,Listing,Courses"
Babe1.7,It Ain't Me Babe,1,7,5,21,1970,Women's Liberation,05211970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/6mZj29UtHb-vYyYxIM7olQ/o5V6xnsgGhpGtKQy2LLJ0XfFdvvXSlDO5wRd62Bp8owdgoO54B66OaK3uBOmFdG_5kYSX4PeixDT19R29I2ZVXoCb_R6hmxL2H4Y7hXCIDggxp9GlTwLS6IocRyRBIkdKSgT6e7ZnUI1bcG-ErqTuN7l6pCjCL4X7O7GD6_pcQM/6LG5H__KaZ25hQFXzOw6exxZmeWUYyzxJXU5StIsdBk),"41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70","Advocacy,Advocacy,Meeting Report,Protest Report,Oppression Report,Protest Report,Protest Report,Event Advertisement,Call to Organize,Protest Report,Protest Report,Protest Report,Protest Report,Call to Organize,Protest Report,Protest Report,Advocacy,Protest Report,Protest Report,Call to Organize,Protest Report,Oppression Report,Event Advertisement,Protest Report,Protest Report,Meeting Report,Call to Organize,Event Advertisement,Event Advertisement,Event Advertisement","17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34","Organization,Reproductive Healthcare,Bookstore,Organization,Organization,Courses,Organization,Courses,Organization,Courses,Courses,Organization,Courses,Courses,Courses,Service,Organization,Listing"
Babe1.8,It Ain't Me Babe,1,8,6,11,1970,Women's Liberation,06111970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/UP448OrGwdUn0-qBa4InWA/WyPJZrvRMgUfRnzFm1D6jVOvm_x7L6X13z4RjrkTNUXvkLvDnEF9VlhJxq_TDHtoRicod5qzhxV3dmucc08CJX_n80MHfbSondLS78fw3EHAEkyak5AxiI_kisx-Dm7yibSj8kXkYEXBHiXeGfz_uZ4mNxfrzRICCd0a4rJql6U/Xb3PwDNHxjb6i9iwIfXJwr5UupMvoKb42hf_3zVC9y4),"71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90","Protest Report,Meeting Report,Protest Report,Protest Report,Protest Report,Advocacy,Call to Organize,Call to Organize,Oppression Report,Protest Report,Protest Report,Meeting Report,Protest Report,Protest Report,Advocacy,Meeting Report,Call to Organize,Protest Report,Meeting Report,Advocacy,Meeting Report,Call to Organize","35,36,37,38,39,40,41,42,43,44,45,46,47,48","Bookstore,Organization,Courses,Courses,Courses,Courses,Listing,Listing,Courses,Listing,Listing,Listing,Listing,Service,Bookstore"
Babe1.9,It Ain't Me Babe,1,9,7,2,1970,Women's Liberation,07021970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/h4KebKF4lctdaQaHW12p6A/-NHN58iEE5U0sVv9Xo1sadOohBstUZkjXMpOtP3FGhhtFFihCWjV-X-d_JTRTaTAL-nbLzyF-oC7aMIw5XsW0c6M3pwAeQ06lvkvYpQ0XCr86IT7cJCaJ3a6IjqyP_Xubaf5dXHRylmDHKuEbuOirk0EoWbBwJptO8GRmUZ7Mzg/MuDArfqstgS3rWCviykE0hpyafRZ0HoIhgx4sd4qqOY),"91,92,93,94,95,96,97,98,99,100,101,102,103","Call to Organize,Protest Report,Protest Report,Oppression Report,Protest Report,Oppression Report,Protest Report,Protest Report,Protest Report,Protest Report,Event Advertisement,Advocacy,Protest Report,Event Advertisement,Event Advertisement","49,49,50,51,52,53,54,55,56,57","Organization,Bookstore,Bookstore,Organization,Organization,Organization,Organization,Courses,Organization,Listing,Listing"
Babe1.10,It Ain't Me Babe,1,10,7,23,1970,Women's Liberation,07231970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/pDPOO3vsQ8p8s-PohxW_-A/rfE-Uwa7U-mfQpUNLKmDXuohXl7CHuTWPe2el9Gy0d6GlqsSibxpJF1Uf1SLkoJJ7O5KkfldYpclV9KZ2L_tioCYMX2CxMbxQ04sJwCYQX93P85ZZ6toJvH5ccfK0hd_Jc9zpJyhtcKSC5RkUzUNiPj_SGb-jSlB8uU3nLlSFzI/Afn4renxhSyw2m0g3LXGrTuOusd0l-3YeNu9t4Dfh0A),"2,3,4,5,6,7,8","Protest Report,Protest Report,Protest Report,Event Advertisement,Event Advertisement,Advocacy,Event Advertisement","4,5,6","Listing,Childcare,Bookstore"
Babe1.11,It Ain't Me Babe,1,11,8,6,1970,Women's Liberation,08061970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/M4ihguC5hcB_NaEEn1LhzQ/BcDZSpctMvQj4t9G-MRYC2QA4kXfXjyozmpXFGQEkeilMuqabu3O5X57Th4yDbGKUclqxP4pdenErwM7WafRrU4esBsnAlP7Fo3mz_jSq3aVZx4XmX7_i1N2MTPXegJUuQrGgmrjRcGBF0t5l4lIg-szx482d2okJA2r7PPI9Tc/eJD7jGKdTLstvOIcYs5gl9xYEcGLVVlW04FckVsq95Q),"104,105,106,107,108,109,110,111,112,113,114,115,116","Protest Report,Protest Report,Advocacy,Advocacy,Protest Report,Advocacy,Oppression Report,Protest Report,Protest Report,Protest Report,Protest Report,Advocacy,Meeting Report,Advocacy,Protest Report,Event Advertisement","58,59,60,61","Listing,Bookstore,Listing,Service"
Babe1.13,It Ain't Me Babe,1,13,9,4,1970,Women's Liberation,09041970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/uNcv937ZnH4CAkRXpGj2Lw/DFUbwGviiCmLW_RKFQWzY2xoHsg-7KQwpRq0AhISAANZPpyUsuEmitakYNvpOcZPIpWQxeh_FWmF3bVOFUJlVaWpv4_EIvenH5NG8oFfx3e79fvPLh-FNa9kXHu-POVEhhcSS-p7goy9kj7tV39h0N-m9ryfQUX-W5e1qn6k-Do/1Sv0bH3XwjvXwycebcD0mnL4vdf-4GsvfnBKgAKpWnY),"117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136","Protest Report,Protest Report,Protest Report,Protest Report,Call to Organize,Protest Report,Protest Report,Protest Report,Protest Report,Protest Report,Protest Report,Protest Report,Protest Report,Call to Organize,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement","62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83","Listing,Organization,Listing,Listing,Service,Service,Bookstore,Bookstore,Organization,Organization,Organization,Organization,Listing,Organization,Listing,Listing,Courses,Service,Reproductive Healthcare,Service,Courses,Listing,Organization,Organization"
Babe1.14,It Ain't Me Babe,1,14,9,17,1970,Disarm Rapists!,09171970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/-IsVq-KLDbIdBpp1dm6yTg/_V2Zpt9DHZQHGgokN7Ew-vNjqKCvkHD_etDRtjGexB30a4KLMWsoYc-3_v7-NV00ioRh4BDkaG7PzTeD9wyIZ4B2GMSvZPIVCzYNax80NcKyrBZtHzZ6JNF6XPl4yvTHvTmYtPlzHAsfAJOtTBdZonayb4b4ngvpwf1OvM7wA0o/SSbF0GP44ylSLk3NR1-iAe56IBORUL2EVZCJGoNn0vQ),"137,138,139,140,141,142,143,144,145,146","Protest Report,Advocacy,Protest Report,Advocacy,Advocacy,Oppression Report,Protest Report,Advocacy,Event Advertisement,Event Advertisement","84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111","Bookstore,Listing,Organization,Bookstore,Organization,Organization,Service,Organization,Listing,Bookstore,Service,Listing,Bookstore,Organization,Organization,Organization,Organization,Listing,Organization,Listing,Service,Reproductive Healthcare,Service,Listing,Courses,Organization,Listing,Listing,Listing,Courses,Listing"
Babe1.15,It Ain't Me Babe,1,15,10,8,1970,Boss Dykes Liberation,10081970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/gp6yHLbfNGzoBFCoCp_iSw/swiMKlGDi5Awc_S9AzkPoDDIBBccCoXUeF0hFgPQmCzuySNh0v8UkZ7G6xPKNrwSXqX-eHBbc1eFTGSnBNfQLwBTiJJfZ5ZdzVywddL8wB4czZvOQz3DBYU2CdOvH90ZrX5I6HmEbQ7wkw9qFMP95XdGBrEq4wFZTKPHJY_jWZ8/sVWIKfv3gEHqzNOs9zi8ur2UPPyU6MKLCRn8Phxwi-Q),"147,148,149,150,151,152,153,154,156,157,158,159,160,161,162,163,164,165,166,167,168,169","Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Meeting Report,Advocacy,Event Advertisement,Event Advertisement,Event Advertisement,Oppression Report,Event Advertisement,Event Advertisement,Event Advertisement,Call to Organize","112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130","Listing,Bookstore,Listing,Service,Bookstore,Listing,Listing,Organization,Organization,Organization,Service,Courses,Courses,Service,Courses,Courses,Listing,Listing,Listing"
Babe1.16,It Ain't Me Babe,1,16,10,30,1970,Women's Liberation,10301970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/7aRPQuWlsHvCagwlguLhqA/tgNW-QCZz-SX60JtH9SZeUALbelZZqcF7Pr50uKz9CyMu4c_Se0m-MleFRX0R4tYzOnyndZA3M1NOTjqI9djrY9aN59_4htV4tecSFAJ6_-fcLNhpeYaDOvCDIaPu7mZRHC0UIzZFHQ-I6S7VuieZLthhRdOOZF69NXXCTcQVR0/Cz1MylFV3L02qaRU1VOI_z5mFbpJx-UeoCm9el3EjB4),"170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200","Oppression Report,Advocacy,Advocacy,Advocacy,Protest Report,Protest Report,Advocacy,Protest Report,Protest Report,Advocacy,Meeting Report,Call to Organize,Protest Report,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement,Event Advertisement","131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149","Listing,Courses,Courses,Service,Organization,Listing,Listing,Listing,Courses,Listing,Listing,Courses,Listing,Listing,Listing,Listing,Bookstore,Listing,Listing"
Babe1.17,It Ain't Me Babe,1,17,12,1,1970,End All Hierarchies,12011970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/ma_5VPLFS3QJvK57kTufAQ/ystapPOWSSvqNrlE8VzmFaXFDJNYs6HBH5mxpBk2r6X-8eGDd3ecpM49gx6uXo0E_9f_L4JusTWsk0dYv2mn5c5CYMIG7G6gXXbZUsBKrGWVVKL0ICST6bJEq64RfkiLcpfdATgQiGSmPxZFvRtpENB00CLRQ_MoSnaUynBp934/LLMQtj7oF8RiixBqsb4asQ6I5pvtXz_3sutLHxYz0u4),"201,202,203","Oppression Report,Call to Organize,Meeting Report","150,151,152,153","Listing,Bookstore,Listing,Listing"
Babe1.17S,It Ain't Me Babe,1,17S,12,1,1970,Women's Liberation: Special Supplement,12021970.pdf (https://v5.airtableusercontent.com/v3/u/39/39/1743523200000/oAeO0Tlm03Gipv0R9dB-HQ/K03d8t6KgUvr0gZcgfFG9-ppbUhJqFnOucKnZ0aebC8qZE2vSSqLMzfgRRvGHm5AzlzlgOJV5gIgIFYU-HfRGxvuhoXDx0UsaW23Us9ABT80L8vlcz8O29OZZjn4NghaTk4wIiXtgGgv0sqvtz1QylbjSCMmeoja3hmEvEN_LOI/rcokL3bqYOQ0OrIq89DDWkbxGceckAXTVScOkBPIFJI),"204,205","Event Advertisement,Call to Organize",154,Listing
