ID,resource.title,Volumes,vol.ID (from Volumes),type.resource,resource.location,resource.address,resource.city,resource.state,resource.country,source.publication,notes
1,Planned Parenthood,Babe1.1,Babe1.1,Reproductive Healthcare,Planned Parenthood,"2340 Clay, 922-1720",Berkeley,CA,USA,NA,"""counciled on best course of action for therapeutic abortion"""
2,Post Abortion Care Center,Babe1.1,Babe1.1,Reproductive Healthcare,Post Abortion Care Center,55 Arguello,San Francisco,CA,USA,NA,free pregnancy tests for patients on Wednesdays from 7:30-8
3,Free Pregnancy Tests and Referrals,Babe1.1,Babe1.1,Reproductive Healthcare,NA,NA,Berkeley,CA,USA,NA,"free pregnancy test and referrals, free contraceptives - phone number provided for appointments"
4,Group of Women Seeking Commune,Babe1.10,Babe1.10,Listing,NA,NA,Milwaukee,WI,USA,NA,group of women seeking a commune
5,Mother Jones Community Information Center,Babe1.10,Babe1.10,Childcare,Mother Jones Community Information Center,1823 W. Lombard St.,Baltimore,MD,USA,NA,"free lunch being provided  along with a liberation school to teach history of labor strikes, women's struggles, black history, and other ""important"" problems"
6,Granma,Babe1.10,Babe1.10,Bookstore,Granma,Telegraph and Dwight,Berkeley,CA,USA,NA,radical and marxist literature
7,W.L. Coalition of Michigan,Babe1.4,Babe1.4,Organization,W.L. Coalition of Michigan,5705 Woodward Ave.,Detroit,MI,USA,NA,"monthly meetings of coalition of 15 Women's Liberation groups to work on action projects, put out newsletter/discussion bulletin, and share ideas"
8,New Organization Patterned After Bread and Roses,Babe1.4,Babe1.4,Organization,NA,NA,New York City,NY,USA,NA,new W.L. organization patterned after Bread and Roses in Boston - composed of several small groups
9,New Feminist Book Store,Babe1.4,Babe1.4,Bookstore,New Feminist Book Store,5037 S. Drexel,Chicago,IL,USA,NA,woman-run book store that sells hard to obtain books and articles on W.L.
10,Red Witch,Babe1.5,Babe1.5,Organization,Red Witch,142 Dwinnelle,Berkeley,CA,USA,NA,new organization from dissatisfaction with the state of the woman's movement in the East Bay - inspired by original Red Witch in San Francisco and ideas from other groups
11,YWCA,Babe1.6,Babe1.6,"Childcare,Courses",YWCA,NA,Berkeley,CA,USA,NA,Y-Wives club beginning an 8 week program offering activities for mothers while their children are in the nursery - including group discussions
12,Problem Pregnancy Healthcare Service,Babe1.6,Babe1.6,"Reproductive Healthcare,Listing",NA,NA,Berkeley,CA,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
13,Problem Pregnancy Healthcare Service,Babe1.6,Babe1.6,"Reproductive Healthcare,Listing",NA,NA,Houston,TX,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
14,Problem Pregnancy Healthcare Service,Babe1.6,Babe1.6,"Reproductive Healthcare,Listing",NA,NA,Milwaukee,WI,USA,NA,"Ad for the Problem Pregnancy Counseling Service that provides privacy, references, and confidentiality - phone number provided in lieu of address information"
15,Free Women's Press,Babe2.1,Babe2.1,Organization,Free Women's Press,4205 Terrance St,Oakland,CA,USA,NA,New address - request for additional help
16,Women's Center,Babe2.1,Babe2.1,Organization,Women's Center,1380 Howard,San Francisco,CA,USA,NA,invitation to attend regular Gay Women's Liberation meetings - Friday nights
17,Sacramento Women's Liberation Group,Babe1.7,Babe1.7,Organization,NA,NA,Sacramento,CA,USA,NA,Plug for Sacramento Women's Liberation - group working on opening a coffee shop that will be able to sell W.L. literature - phone number provided
18,Vasectomy Club,Babe1.7,Babe1.7,Reproductive Healthcare,NA,3139 E Sharna,Las Vegas,NV,USA,NA,"Vesectomy Club advertised as way to stop population explosion, lack of medical side effects, male duty to prevent pregnancy, members given ID medallion or bumper sticker, and yearly sperm tests
- intersted parties given address to write to Bev and Jack Palmer"
19,Granma,Babe1.7,Babe1.7,Bookstore,Granma,Telegraph and Dwight,Berkeley,CA,USA,NA,radical and marxist literature AND two cases devoted to women
20,Women of the Free Future Meetings,Babe1.7,Babe1.7,Organization,Peoples Office,1925 Grove,Berkeley,CA,USA,"""SUE, I.A.M.B. Reporter""",list of current projects and advertisement of weekly meetings to plan Liberation summer
21,East Bay Feminist Projects,Babe1.7,Babe1.7,Organization,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",list of current projects and phone number for interested parties in meeting times/place
22,Women's C.P.E. Courses,Babe1.7,Babe1.7,Courses,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number for Donelle listed for information
23,Childcare Coordinating Committee (Strike),Babe1.7,Babe1.7,Organization,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number for Chris - hoping to expand childcare for the community
24,Socialist Workers Workshops,Babe1.7,Babe1.7,Courses,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number provided for information about socialist worker workshops held on either side of the bay
25,N.O.W,Babe1.7,Babe1.7,Organization,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number for Marijean and list of current projects
26,CCAC Women Studies Progam,Babe1.7,Babe1.7,Courses,California College of Arts and Crafts,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number provided for Kay - seeking to establish women's studies program
27,International Socialists Women's Caucaus,Babe1.7,Babe1.7,Courses,NA,NA,NA,CA,USA,"""SUE, I.A.M.B. Reporter""",phone number provided for courses on organizing working women
28,Women's Brigade,Babe1.7,Babe1.7,Organization,W.L.F. Office,NA,Sherwood Forrest,CA,USA,"""SUE, I.A.M.B. Reporter""",informal group concentrating on Strike activities
29,All-Women's Karate Classes,Babe1.7,Babe1.7,Courses,NA,330 Grove St,San Francisco,CA,USA,NA,"Loose confed of groups under Gay Women's Liberation offering list of services - phone number and class day/time information
"
30,Mechanics Instruction,Babe1.7,Babe1.7,Courses,Shire Garage,69 Harriet St.,San Francisco,CA,USA,NA,"Loose confed of groups under Gay Women's Liberation offering list of services - woman working as a mechanic offering courses, phone number provided"
31,Mechanical Drawing Instruction,Babe1.7,Babe1.7,Courses,NA,NA,NA,CA,USA,NA,"Loose confed of groups under Gay Women's Liberation offering list of services - phone number provided for courses for basic tools, reading architectural blueprints, useful for carpentry"
32,Mimeographing,Babe1.7,Babe1.7,Service,NA,NA,NA,CA,USA,NA,Loose confed of groups under Gay Women's Liberation offering list of services - Mimeographing done at cost if material relates to women - phone number provided
33,Saturday Night Meetings,Babe1.7,Babe1.7,Organization,NA,NA,"San Francisco, Berkeley",CA,USA,NA,Loose confed of groups under Gay Women's Liberation offering list of services - Saturday meetings with phone number for information - alternating between SF and Berkeley
34,Call for Material for Women's Liberation Newsletter,Babe1.7,Babe1.7,Listing,NA,NA,NA,CA,USA,NA,Loose confed of groups under Gay Women's Liberation offering list of services - request for material about what people are doing and places the newsletter can be sent - phone numbers listed for staff
35,Up Haste,Babe1.8,Babe1.8,Bookstore,Up Haste,2506 B Haste,NA,NA,USA,NA,Feminist bookstore and rap center
36,East Bay Feminists Orientation Meetings,Babe1.8,Babe1.8,Organization,NA,2015 Stuart,Berkeley,CA,USA,NA,orientation for new members being offered the first Monday and third Tuesday of every month
37,Skilled Trade Apprenticeships,Babe1.8,Babe1.8,Courses,NA,NA,Berkeley,CA,USA,NA,two women offering apprenticeships in skilled trade - able to earn hourly pay as a journey-woman
38,Carpentry Classes,Babe1.8,Babe1.8,Courses,NA,616 Miner Rd,Orinda,CA,USA,NA,Tuesday night carpentry class at a workshop (tandem with next entry)
39,Carpentry Classes,Babe1.8,Babe1.8,Courses,NA,2015 Stuart,Berkeley,CA,USA,NA,"Thursday night carpentry class - remodeling house, same location as East Bay Feminists Meeting (tandem with above entry)"
40,Plumbing and Home Repairs,Babe1.8,Babe1.8,Courses,NA,616 Miner Rd,Orinda,CA,USA,NA,(same location as carpentry classes) weekly classes for women
41,Ad for Live-In Childcare ,Babe1.8,Babe1.8,Listing,NA,1302 Maria Way,San Jose,CA,USA,NA,"request for someone in need of a home, of similar mentality with women's liberation to care for children (avoiding exact language of ""nanny"" or other term)"
42,Ad for Interest in Palestine Resistance Movements,Babe1.8,Babe1.8,Listing,NA,NA,NA,NA,USA,NA,Ad for interested parties to take trip to visit Palestinian resistance movements in August (no clear destination) - contact information provided
43,Fishing Boat Conversion,Babe1.8,Babe1.8,"Courses,Listing",NA,NA,NA,CA,USA,NA,Offer for courses in building/converting a fishing boat as well as request for help (exchange)
44,Call for Written Statement,Babe1.8,Babe1.8,Listing,NA,NA,Berkeley,CA,USA,NA,"Request for a written statement on the women's liberation movement - straight-forward, non-rhetorical - for republication in a survival magazine"
